bug: c2x in ap_escape_errorlog_item, pair: (c2x, strlen), support: 3, confidence: 75.00%
bug: ms_bad_conn in mget_conn_result, pair: (apr_socket_sendv, ms_bad_conn), support: 7, confidence: 87.50%
bug: write_page in makroom, pair: (apr_sdbm_lock, write_page), support: 2, confidence: 66.67%
bug: ap_build_config in process_command_config, pair: (ap_build_config, ap_pcfg_openfile), support: 2, confidence: 66.67%
bug: ap_build_config in process_resource_config_nofnmatch, pair: (ap_build_config, ap_pcfg_openfile), support: 2, confidence: 66.67%
bug: shmget in apr_shm_remove, pair: (shmat, shmget), support: 2, confidence: 66.67%
bug: apr_memcache_disable_server in mget_conn_result, pair: (apr_memcache_disable_server, apr_socket_sendv), support: 5, confidence: 83.33%
bug: log_script_err in cgi_bucket_read, pair: (discard_script_output, log_script_err), support: 2, confidence: 66.67%
bug: apr_table_unset in add_env_module_vars_unset, pair: (apr_table_setn, apr_table_unset), support: 8, confidence: 66.67%
bug: apr_table_unset in ap_read_request, pair: (apr_table_setn, apr_table_unset), support: 8, confidence: 66.67%
bug: apr_table_unset in basic_http_header, pair: (apr_table_setn, apr_table_unset), support: 8, confidence: 66.67%
bug: apr_dir_open in apr_match_glob, pair: (apr_dir_open, apr_psprintf), support: 2, confidence: 66.67%
bug: missing_container_arg in start_ifdefine, pair: (ap_check_cmd_context, missing_container_arg), support: 5, confidence: 71.43%
bug: missing_container_arg in start_ifmod, pair: (ap_check_cmd_context, missing_container_arg), support: 5, confidence: 71.43%
bug: ap_is_recursion_limit_exceeded in ap_sub_req_method_uri, pair: (ap_is_recursion_limit_exceeded, apr_pstrdup), support: 2, confidence: 66.67%
bug: ap_merge_per_dir_configs in ap_fixup_virtual_hosts, pair: (ap_merge_per_dir_configs, apr_array_push), support: 3, confidence: 75.00%
bug: apr_fnmatch in find_desc, pair: (apr_fnmatch, apr_pstrdup), support: 5, confidence: 71.43%
bug: ap_finalize_request_protocol in ap_die, pair: (ap_die, ap_finalize_request_protocol), support: 3, confidence: 75.00%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: missing_container_arg in start_ifdefine, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: missing_container_arg in start_ifmod, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, ap_walk_config), support: 3, confidence: 75.00%
bug: apr_thread_mutex_lock in apr_dbd_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 95.56%
bug: apr_thread_mutex_unlock in apr_dbd_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 91.49%
bug: apr_thread_mutex_unlock in apr_global_mutex_trylock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 91.49%
bug: apr_thread_mutex_unlock in apr_global_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 91.49%
bug: apr_thread_mutex_lock in apu_dso_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 95.56%
bug: apr_thread_mutex_unlock in apu_dso_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 91.49%
bug: apr_dir_open in apr_match_glob, pair: (ap_make_full_path, apr_dir_open), support: 2, confidence: 66.67%
bug: apr_dir_open in process_resource_config_nofnmatch, pair: (ap_make_full_path, apr_dir_open), support: 2, confidence: 66.67%
bug: apr_thread_create in apr_thread_pool_create, pair: (apr_thread_create, task_new), support: 2, confidence: 66.67%
bug: apr_thread_create in schedule_task, pair: (apr_thread_create, task_new), support: 2, confidence: 66.67%
bug: ap_graceful_stop_signalled in ap_set_keepalive, pair: (ap_graceful_stop_signalled, ap_process_request), support: 2, confidence: 66.67%
bug: get_server_line in mc_version_ping, pair: (get_server_line, strncmp), support: 6, confidence: 75.00%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, apr_fnmatch_test), support: 3, confidence: 75.00%
bug: ap_merge_per_dir_configs in ap_fixup_virtual_hosts, pair: (ap_merge_per_dir_configs, apr_pstrdup), support: 3, confidence: 75.00%
bug: get_server_line in apr_memcache_multgetp, pair: (get_server_line, ms_bad_conn), support: 7, confidence: 87.50%
bug: ms_bad_conn in mget_conn_result, pair: (get_server_line, ms_bad_conn), support: 7, confidence: 87.50%
bug: apr_signal in apr_proc_create, pair: (ap_log_error, apr_signal), support: 3, confidence: 75.00%
bug: apr_socket_create in dummy_connection, pair: (apr_palloc, apr_socket_create), support: 2, confidence: 66.67%
bug: apu__sdbm_hash in apu__sdbm_splpage, pair: (apr_sdbm_lock, apu__sdbm_hash), support: 3, confidence: 75.00%
bug: ftok in apr_shm_remove, pair: (apr_pool_cleanup_register, ftok), support: 2, confidence: 66.67%
bug: apr_atomic_set32 in apu_dso_init, pair: (apr_atomic_set32, apu_dso_init), support: 2, confidence: 66.67%
bug: apr_atomic_set32 in dbm_open_type, pair: (apr_atomic_set32, apu_dso_init), support: 2, confidence: 66.67%
bug: apr_atomic_dec32 in dbm_open_type, pair: (apr_atomic_dec32, apr_thread_mutex_create), support: 2, confidence: 66.67%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, unclosed_directive), support: 3, confidence: 75.00%
bug: apr_memcache_disable_server in mget_conn_result, pair: (apr_memcache_disable_server, ms_find_conn), support: 5, confidence: 83.33%
bug: lseek in apr_file_seek, pair: (apr_file_flush_locked, lseek), support: 3, confidence: 75.00%
bug: find_default_item in output_directories, pair: (find_default_item, ignore_entry), support: 2, confidence: 66.67%
bug: apr_memcache_hash in apr_memcache_multgetp, pair: (apr_memcache_hash, ms_bad_conn), support: 4, confidence: 80.00%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, strrchr), support: 3, confidence: 75.00%
bug: getpage in apr_sdbm_fetch, pair: (apr_sdbm_rdonly, getpage), support: 2, confidence: 66.67%
bug: getpage in apr_sdbm_store, pair: (apr_sdbm_rdonly, getpage), support: 2, confidence: 66.67%
